SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer
SR19-02894856,11/06/19 10:27 AM,5953 S KILBOURN AVE<br>  60629,Completed,Processed for Court
SR19-02894920,11/06/19 10:35 AM,1465 E 69TH ST<br>  60637,Completed,No Entry
SR19-02895003,11/06/19 10:41 AM,4214 S MICHIGAN AVE<br>  60653,Completed,
SR19-02895459,11/06/19 11:22 AM,7100 N SHERIDAN RD<br>  60626,Completed,Adequate Temperature
SR19-02895992,11/06/19 12:08 PM,5125 S WESTERN AVE<br>  60609,Completed,Processed for Hearing - Standard
SR19-02896133,11/06/19 12:28 PM,7051 S BENNETT AVE<br>  60649,Completed,No Entry
SR19-02896262,11/06/19 12:41 PM,4336 W DICKENS AVE<br>  60639,Completed,Adequate Temperature
SR19-02896582,11/06/19 01:20 PM,5244 S KILPATRICK AVE<br>  60632,Completed,No Entry
SR19-02896987,11/06/19 02:06 PM,8560 S YATES BLVD<br>  60617,Completed,Active Case
SR19-02898054,11/06/19 04:14 PM,5704 N MEADE AVE<br>  60646,Completed,No Entry
SR19-02898323,11/06/19 04:55 PM,6029 S RHODES AVE<br>  60637,Completed,No Entry
SR19-02899402,11/06/19 08:27 PM,60 N CENTRAL AVE<br>  60644,Completed,PROCESSED VIOLATION NOTICE
SR19-02899464,11/06/19 08:41 PM,3749 W BELDEN AVE<br>  60647,Completed,Processed for Hearing - Standard
SR19-02899590,11/06/19 09:24 PM,1625 W SHERWIN AVE<br>  60626,Completed,
SR19-02899854,11/06/19 10:33 PM,2512 E 79TH ST<br>  60649,Completed,No Entry
SR19-02899934,11/06/19 11:10 PM,3246 N PULASKI RD<br>  60641,Completed,No Entry
SR19-02899988,11/06/19 11:35 PM,2311 W 19TH ST<br>  60608,Completed,PROCESSED VIOLATION NOTICE
SR19-02900055,11/07/19 12:26 AM,5242 S HYDE PARK BLVD<br>  60615,Completed,No Entry
SR19-02900081,11/07/19 12:53 AM,1115 S TROY ST<br>  60612,Completed,Adequate Temperature
SR19-02900217,11/07/19 05:11 AM,627 N DRAKE AVE<br>  60624,Completed,PROCESSED VIOLATION NOTICE
SR19-02900506,11/07/19 07:13 AM,8127 S COLFAX AVE<br>  60617,Completed,Processed for Hearing - Standard
SR19-02900544,11/07/19 07:22 AM,1333 S TRIPP AVE<br>  60623,Completed,Active Case
SR19-02901184,11/07/19 09:04 AM,4128 W VAN BUREN ST<br>  60624,Completed,PROCESSED VIOLATION NOTICE
SR19-02901372,11/07/19 09:26 AM,7760 N EASTLAKE TER<br>  60626,Completed,
SR19-02901716,11/07/19 10:04 AM,3200 W 81ST ST<br>  60652,Completed,No Cause
SR19-02904136,11/07/19 02:13 PM,705 W 71ST ST<br>  60621,Completed,No Entry
SR19-02904485,11/07/19 02:48 PM,150 W MAPLE ST<br>  60610,Completed,No Cause
SR19-02904808,11/07/19 03:27 PM,6631 S WOODLAWN AVE<br>  60637,Completed,No Entry
SR19-02905072,11/07/19 03:55 PM,612 S LOOMIS ST<br>  60607,Completed,PROCESSED VIOLATION NOTICE
SR19-02905301,11/07/19 04:27 PM,1510 W 63RD ST<br>  60636,Completed,Active Case
SR19-02906220,11/07/19 07:57 PM,2512 E 79TH ST<br>  60649,Completed,No Entry
SR19-02906286,11/07/19 08:11 PM,2051 W IOWA ST<br>  60622,Completed,No Entry
SR19-02906518,11/07/19 09:07 PM,1717 W NORTH SHORE AVE<br>  60626,Completed,No Entry
SR19-02906700,11/07/19 09:51 PM,1252 W ELMDALE AVE<br>  60660,Completed,No Entry
SR19-02906843,11/07/19 10:34 PM,6814 S MARSHFIELD AVE<br>  60636,Completed,No Entry
SR19-02906871,11/07/19 10:44 PM,6171 N SHERIDAN RD<br>  60660,Completed,Adequate Temperature
SR19-02907251,11/08/19 05:57 AM,8102 S PAULINA ST<br>  60620,Completed,Active Case
SR19-02907512,11/08/19 07:36 AM,877 E 87TH PL<br>  60619,Completed,Active Case
SR19-02907772,11/08/19 08:25 AM,1013 W 32ND ST<br>  60608,Completed,PROCESSED VIOLATION NOTICE
SR19-02907904,11/08/19 08:41 AM,5424 W FERDINAND ST<br>  60644,Completed,No Entry
SR19-02908114,11/08/19 09:08 AM,6741 S PAULINA ST<br>  60636,Completed,No Entry
SR19-02908426,11/08/19 09:45 AM,704 S INDEPENDENCE BLVD<br>  60624,Completed,PROCESSED VIOLATION NOTICE
SR19-02908481,11/08/19 09:49 AM,10657 S GREEN BAY AVE<br>  60617,Completed,No Entry
SR19-02908582,11/08/19 10:00 AM,6411 S SANGAMON ST<br>  60621,Completed,Processed for Hearing - Standard
SR19-02908781,11/08/19 10:24 AM,1242 W 109TH PL<br>  60643,Completed,Processed for Court
SR19-02908807,11/08/19 10:28 AM,170 W OAK ST<br>  60610,Completed,Adequate Temperature
SR19-02909104,11/08/19 10:57 AM,5923 S DAMEN AVE<br>  60636,Completed,Processed for Court
SR19-02909446,11/08/19 11:28 AM,4214 S MICHIGAN AVE<br>  60653,Completed,
SR19-02910105,11/08/19 12:24 PM,2855 N LONG AVE<br>  60641,Completed,No Entry
SR19-02912378,11/08/19 04:35 PM,1118 N OAKLEY BLVD<br>  60622,Completed,No Entry
SR19-02912968,11/08/19 07:14 PM,4214 S MICHIGAN AVE<br>  60653,Completed,No Cause - Phone Call
SR19-02913343,11/08/19 09:22 PM,3033 E 79TH ST<br>  60649,Completed,No Entry
SR19-02913560,11/08/19 11:03 PM,6949 S GREEN ST<br>  60621,Completed,Processed for Court
SR19-02913596,11/08/19 11:26 PM,125 E MARQUETTE RD<br>  60637,Completed,PROCESSED VIOLATION NOTICE
SR19-02913627,11/08/19 11:47 PM,7044 S EUCLID AVE<br>  60649,Completed,No Entry
SR19-02913771,11/09/19 02:02 AM,1463 E 68TH ST<br>  60637,Completed,Active Case
SR19-02913923,11/09/19 06:21 AM,7443 S CHAPPEL AVE<br>  60649,Completed,Active Case
SR19-02914021,11/09/19 07:13 AM,9150 S ELLIS AVE<br>  60619,Completed,No Entry
SR19-02914095,11/09/19 07:39 AM,1962 E 71ST PL<br>  60649,Completed,Processed for Hearing - Standard
SR19-02914490,11/09/19 09:18 AM,3075 E CHELTENHAM PL<br>  60649,Completed,Active Case
SR19-02914533,11/09/19 09:27 AM,3075 E CHELTENHAM PL<br>  60649,Completed,
SR19-02914823,11/09/19 10:37 AM,7900 S PAXTON AVE<br>  60649,Completed,Processed for Hearing - Standard
SR19-02914843,11/09/19 10:42 AM,1639 W 71ST ST<br>  60636,Completed,No Entry
SR19-02914901,11/09/19 10:55 AM,3729 W 59TH PL<br>  60629,Completed,No Entry
SR19-02914908,11/09/19 10:57 AM,1639 W 71ST ST<br>  60636,Completed,
SR19-02915052,11/09/19 11:26 AM,2512 E 79TH ST<br>  60649,Completed,No Entry
SR19-02915185,11/09/19 11:49 AM,1717 W NORTH SHORE AVE<br>  60626,Completed,No Entry
SR19-02915302,11/09/19 12:21 PM,242 N MASON AVE<br>  60644,Completed,Processed for Hearing - Standard
SR19-02915334,11/09/19 12:29 PM,3075 E CHELTENHAM PL<br>  60649,Completed,
SR19-02915383,11/09/19 12:38 PM,3509 W BELLE PLAINE AVE<br>  60618,Completed,No Entry
SR19-02916006,11/09/19 02:31 PM,7610 S ESSEX AVE<br>  60649,Completed,Adequate Temperature
SR19-02916126,11/09/19 02:51 PM,1811 N TRIPP AVE<br>  60639,Completed,No Entry
SR19-02916872,11/09/19 05:50 PM,6740 S EBERHART AVE<br>  60637,Completed,No Entry
SR19-02917477,11/09/19 09:39 PM,1437 N KEATING AVE<br>  60651,Completed,No Entry
SR19-02918824,11/10/19 12:06 PM,8341 S RHODES AVE<br>  60619,Completed,PROCESSED VIOLATION NOTICE
SR19-02919076,11/10/19 12:51 PM,4717 W ADAMS ST<br>  60644,Completed,No Entry
SR19-02919175,11/10/19 01:05 PM,1625 W SHERWIN AVE<br>  60626,Completed,
SR19-02919547,11/10/19 02:15 PM,3357 W CHICAGO AVE<br>  60651,Completed,
SR19-02919622,11/10/19 02:29 PM,617 N CICERO AVE<br>  60644,Completed,No Entry
SR19-02919650,11/10/19 02:36 PM,617 N CICERO AVE<br>  60644,Completed,
SR19-02919838,11/10/19 03:23 PM,6357 S INGLESIDE AVE<br>  60637,Completed,Processed for Court
SR19-02919944,11/10/19 03:46 PM,1232 S LAWNDALE AVE<br>  60623,Completed,Adequate Temperature
SR19-02920307,11/10/19 05:06 PM,510 W BELMONT AVE<br>  60657,Completed,No Cause
SR19-02920347,11/10/19 05:20 PM,3246 N PULASKI RD<br>  60641,Completed,Active Case
SR19-02921458,11/10/19 08:31 PM,6421 N TROY ST<br>  60645,Completed,No Entry
SR19-02922526,11/11/19 06:11 AM,7755 S KINGSTON AVE<br>  60649,Completed,No Entry
SR19-02922794,11/11/19 07:48 AM,7542 S KINGSTON AVE<br>  60649,Completed,Adequate Temperature
SR19-02922949,11/11/19 08:19 AM,5012 N SHERIDAN RD<br>  60640,Completed,Processed for Hearing - Standard
SR19-02923056,11/11/19 08:36 AM,9909 S EWING AVE<br>  60617,Completed,No Entry
SR19-02923152,11/11/19 08:47 AM,705 W 71ST ST<br>  60621,Completed,
SR19-02923179,11/11/19 08:51 AM,6625 S CALIFORNIA AVE<br>  60629,Completed,Processed for Court
SR19-02923339,11/11/19 09:09 AM,2512 E 79TH ST<br>  60649,Completed,
SR19-02923353,11/11/19 09:11 AM,7410 N WINCHESTER AVE<br>  60626,Completed,PROCESSED VIOLATION NOTICE
SR19-02923478,11/11/19 09:22 AM,7030 S CREGIER AVE<br>  60649,Completed,No Entry
SR19-02924054,11/11/19 10:25 AM,3818 W MAYPOLE AVE<br>  60624,Completed,No Entry
SR19-02924230,11/11/19 10:40 AM,4036 W GLADYS AVE<br>  60624,Completed,No Entry
SR19-02924294,11/11/19 10:47 AM,11316 S EDBROOKE AVE<br>  60628,Completed,No Entry
SR19-02924942,11/11/19 11:46 AM,2319 N MAJOR AVE<br>  60639,Completed,No Entry
SR19-02925154,11/11/19 12:05 PM,156 S HAMLIN BLVD<br>  60624,Completed,Adequate Temperature
SR19-02925246,11/11/19 12:21 PM,636 W 57TH ST<br>  60621,Completed,
SR19-02925558,11/11/19 01:00 PM,4158 S ASHLAND AVE<br>  60609,Completed,No Entry
SR19-02925749,11/11/19 01:32 PM,3318 N LAKE SHORE DR<br>  60657,Completed,Adequate Temperature
SR19-02925790,11/11/19 01:39 PM,718 W 61ST PL<br>  60621,Completed,No Entry
SR19-02925831,11/11/19 01:46 PM,7810 S KINGSTON AVE<br>  60649,Completed,No Cause
SR19-02925938,11/11/19 02:05 PM,1245 S WOOD ST<br>  60608,Completed,Adequate Temperature
SR19-02926207,11/11/19 02:43 PM,2823 N AUSTIN AVE<br>  60634,Completed,NO SUCH ADDRESS
SR19-02926501,11/11/19 03:30 PM,8125 S COTTAGE GROVE AVE<br>  60619,Completed,Adequate Temperature
SR19-02926578,11/11/19 03:42 PM,3246 N PULASKI RD<br>  60641,Completed,
SR19-02926622,11/11/19 03:52 PM,9763 S MERRILL AVE<br>  60617,Completed,No Cause
SR19-02926693,11/11/19 04:03 PM,3221 N KENMORE AVE<br>  60657,Completed,No Entry
SR19-02926796,11/11/19 04:28 PM,1642 W JONQUIL TER<br>  60626,Completed,No Entry
SR19-02926806,11/11/19 04:31 PM,150 W MAPLE ST<br>  60610,Completed,Adequate Temperature
SR19-02926921,11/11/19 04:57 PM,880 N LAKE SHORE DR<br>  60611,Completed,Adequate Temperature
SR19-02927181,11/11/19 06:01 PM,8726 S EXCHANGE AVE<br>  60617,Completed,No Entry
SR19-02927629,11/11/19 07:49 PM,3711 S MICHIGAN AVE<br>  60653,Completed,Processed for Hearing - Standard
SR19-02927648,11/11/19 07:55 PM,3357 W CHICAGO AVE<br>  60651,Completed,
SR19-02927838,11/11/19 08:43 PM,8636 S ABERDEEN ST<br>  60620,Completed,No Entry
SR19-02927992,11/11/19 09:17 PM,1410 W JUNEWAY TER<br>  60626,Completed,No Entry
SR19-02928598,11/12/19 02:54 AM,501 W BELMONT AVE<br>  60657,Completed,No Entry
SR19-02928610,11/12/19 03:14 AM,1609 N MOBILE AVE<br>  60639,Completed,No Entry
SR19-02928618,11/12/19 03:33 AM,8917 S COTTAGE GROVE AVE<br>  60619,Completed,No Entry
SR19-02928665,11/12/19 04:58 AM,7700 S NORMAL AVE<br>  60620,Completed,No Entry
SR19-02928690,11/12/19 05:17 AM,7940 S SAINT LAWRENCE AVE<br>  60619,Completed,PROCESSED VIOLATION NOTICE
SR19-02928838,11/12/19 06:29 AM,8104 S JUSTINE ST<br>  60620,Completed,No Cause - Phone Call
SR19-02929165,11/12/19 08:02 AM,2430 W VAN BUREN ST<br>  60612,Completed,Adequate Temperature
SR19-02929206,11/12/19 08:10 AM,740 S INDEPENDENCE BLVD<br>  60624,Completed,No Entry
SR19-02929215,11/12/19 08:12 AM,150 W MAPLE ST<br>  60610,Completed,
SR19-02929232,11/12/19 08:14 AM,7844 S LUELLA AVE<br>  60649,Completed,No Entry
SR19-02929302,11/12/19 08:28 AM,847 E 64TH PL<br>  60637,Completed,Adequate Temperature
SR19-02929458,11/12/19 08:47 AM,1743 E 68TH ST<br>  60649,Completed,No Entry
SR19-02929487,11/12/19 08:51 AM,2339 E 71ST ST<br>  60649,Completed,Adequate Temperature
SR19-02929507,11/12/19 08:54 AM,7145 S CYRIL AVE<br>  60649,Completed,Adequate Temperature
SR19-02929522,11/12/19 08:56 AM,521 W 46TH PL<br>  60609,Completed,Processed for Court
SR19-02929539,11/12/19 08:58 AM,8001 S WESTERN AVE<br>  60620,Completed,Adequate Temperature
SR19-02929555,11/12/19 09:00 AM,7828 S THROOP ST<br>  60620,Completed,No Entry
SR19-02929724,11/12/19 09:17 AM,9909 S EWING AVE<br>  60617,Completed,
SR19-02930010,11/12/19 09:44 AM,7709 S PEORIA ST<br>  60620,Completed,No Entry
SR19-02930195,11/12/19 10:00 AM,705 W 71ST ST<br>  60621,Completed,Adequate Temperature
SR19-02930611,11/12/19 10:38 AM,3603 N ASHLAND AVE<br>  60613,Completed,Adequate Temperature
SR19-02930727,11/12/19 10:49 AM,5233 S WINCHESTER AVE<br>  60609,Completed,Processed for Court
SR19-02930895,11/12/19 11:01 AM,7120 S MERRILL AVE<br>  60649,Completed,Adequate Temperature
SR19-02930983,11/12/19 11:10 AM,3833 W WASHINGTON BLVD<br>  60624,Completed,Adequate Temperature
SR19-02931009,11/12/19 11:13 AM,7605 S DREXEL AVE<br>  60619,Completed,No Cause - Phone Call
SR19-02931045,11/12/19 11:19 AM,5240 N WINTHROP AVE<br>  60640,Completed,Processed for Court
SR19-02931118,11/12/19 11:27 AM,7605 S DREXEL AVE<br>  60619,Completed,
SR19-02931381,11/12/19 11:51 AM,5832 W WALTON ST<br>  60651,Completed,Processed for Court
SR19-02931548,11/12/19 12:01 PM,6420 S MARYLAND AVE<br>  60637,Completed,No Entry
SR19-02931590,11/12/19 12:04 PM,6042 S CAMPBELL AVE<br>  60629,Completed,PROCESSED VIOLATION NOTICE
SR19-02932030,11/12/19 12:55 PM,7852 S CHAMPLAIN AVE<br>  60619,Completed,No Entry
SR19-02932497,11/12/19 01:38 PM,7527 S COLFAX AVE<br>  60649,Completed,PROCESSED VIOLATION NOTICE
SR19-02932540,11/12/19 01:44 PM,3510 S RHODES AVE<br>  60653,Completed,Adequate Temperature
SR19-02932604,11/12/19 01:50 PM,7144 S EAST END AVE<br>  60649,Completed,PROCESSED VIOLATION NOTICE
SR19-02932645,11/12/19 01:53 PM,2447 N MONITOR AVE<br>  60639,Completed,No Entry
SR19-02932745,11/12/19 02:02 PM,1311 S HARDING AVE<br>  60623,Completed,Adequate Temperature
SR19-02933136,11/12/19 02:32 PM,4851 S CHAMPLAIN AVE<br>  60615,Completed,Processed for Hearing - Standard
SR19-02933147,11/12/19 02:33 PM,1723 E 79TH ST<br>  60617,Completed,PROCESSED VIOLATION NOTICE
SR19-02933448,11/12/19 03:02 PM,4026 N KEYSTONE AVE<br>  60641,Completed,No Entry
SR19-02933460,11/12/19 03:03 PM,6608 S MARQUETTE RD<br>  60637,Completed,Adequate Temperature
SR19-02933700,11/12/19 03:29 PM,1642 W JONQUIL TER<br>  60626,Completed,No Entry
SR19-02933726,11/12/19 03:33 PM,6933 S CARPENTER ST<br>  60621,Completed,No Entry
SR19-02933799,11/12/19 03:41 PM,5110 S DR MARTIN LUTHER KING JR DR<br>  60615,Completed,Adequate Temperature
SR19-02933933,11/12/19 03:54 PM,3525 W DOUGLAS BLVD<br>  60623,Completed,Active Case
SR19-02934022,11/12/19 04:07 PM,2512 E 79TH ST<br>  60649,Completed,Processed for Court
SR19-02934047,11/12/19 04:12 PM,712 W DIVERSEY PKWY<br>  60614,Completed,Adequate Temperature
SR19-02934361,11/12/19 04:56 PM,2343 W 70TH ST<br>  60636,Completed,Active Case
SR19-02934418,11/12/19 05:07 PM,1455 N LATROBE AVE<br>  60651,Completed,Processed for Hearing - Standard
SR19-02934732,11/12/19 06:18 PM,8400 S ABERDEEN ST<br>  60620,Completed,Processed for Court
SR19-02934824,11/12/19 06:39 PM,2415 W GREENLEAF AVE<br>  60645,Completed,PROCESSED VIOLATION NOTICE
SR19-02934964,11/12/19 07:18 PM,3131 W DOUGLAS BLVD<br>  60623,Completed,Adequate Temperature
SR19-02935185,11/12/19 08:17 PM,1547 S KOLIN AVE<br>  60623,Completed,No Entry
SR19-02935275,11/12/19 08:44 PM,7304 S ALBANY AVE<br>  60629,Completed,No Entry
SR19-02935339,11/12/19 09:02 PM,746 W NORWOOD AVE,Completed,No Cause
SR19-02935362,11/12/19 09:08 PM,5016 N WINTHROP AVE<br>  60640,Completed,Adequate Temperature
SR19-02935407,11/12/19 09:21 PM,5947 S INDIANA AVE<br>  60637,Completed,Adequate Temperature
SR19-02935461,11/12/19 09:34 PM,3420 S COTTAGE GROVE AVE<br>  60616,Completed,Adequate Temperature
SR19-02935597,11/12/19 10:11 PM,1808 N SAINT LOUIS AVE<br>  60647,Completed,No Entry
SR19-02935808,11/13/19 12:22 AM,242 N MASON AVE<br>  60644,Completed,
SR19-02935960,11/13/19 04:57 AM,3920 N CLARK ST<br>  60613,Completed,Adequate Temperature
SR19-02936004,11/13/19 05:37 AM,712 W DIVERSEY PKWY<br>  60614,Completed,Adequate Temperature
SR19-02936039,11/13/19 06:13 AM,6657 S WHIPPLE ST<br>  60629,Completed,Processed for Court
SR19-02936086,11/13/19 06:33 AM,7369 N RIDGE BLVD<br>  60645,Completed,No Entry
SR19-02936127,11/13/19 06:45 AM,4722 S TRIPP AVE<br>  60632,Completed,No Entry
SR19-02936165,11/13/19 06:54 AM,65 E 57TH ST<br>  60637,Completed,Adequate Temperature
SR19-02936405,11/13/19 07:51 AM,6565 S YALE AVE<br>  60621,Completed,Adequate Temperature
SR19-02936467,11/13/19 08:00 AM,4846 W NORTH AVE<br>  60639,Completed,No Entry
SR19-02936529,11/13/19 08:10 AM,510 W BELMONT AVE<br>  60657,Completed,Adequate Temperature
SR19-02936567,11/13/19 08:16 AM,3940 N CLARK ST<br>  60613,Completed,Adequate Temperature
SR19-02936632,11/13/19 08:24 AM,3112 W DOUGLAS BLVD<br>  60623,Completed,Processed for Hearing - Standard
SR19-02936761,11/13/19 08:44 AM,555 E 33RD PL<br>  60616,Completed,Adequate Temperature
SR19-02936772,11/13/19 08:45 AM,8936 S ASHLAND AVE<br>  60620,Completed,Processed for Hearing - Standard
SR19-02936817,11/13/19 08:51 AM,5942 W ADDISON ST<br>  60634,Completed,PROCESSED VIOLATION NOTICE
SR19-02936899,11/13/19 09:01 AM,2614 W FOSTER AVE<br>  60625,Completed,Adequate Temperature
SR19-02936915,11/13/19 09:04 AM,8151 S PEORIA ST<br>  60620,Completed,No Entry
SR19-02936954,11/13/19 09:08 AM,4816 N AVERS AVE<br>  60625,Completed,Processed for Court
SR19-02937109,11/13/19 09:13 AM,6527 S DAMEN AVE<br>  60636,Completed,Processed for Court
SR19-02937209,11/13/19 09:20 AM,4411 N FRANCISCO AVE<br>  60618,Completed,No Entry
SR19-02937329,11/13/19 09:35 AM,2101 S MICHIGAN AVE<br>  60616,Completed,Adequate Temperature
SR19-02937448,11/13/19 09:49 AM,7944 S BURNHAM AVE<br>  60617,Completed,Active Case
SR19-02937449,11/13/19 09:49 AM,1549 N KEDVALE AVE<br>  60651,Completed,No Entry
SR19-02937509,11/13/19 09:56 AM,6347 S EBERHART AVE<br>  60637,Completed,No Entry
SR19-02937545,11/13/19 10:00 AM,6038 S RACINE AVE<br>  60636,Completed,No Entry
SR19-02937851,11/13/19 10:29 AM,4814 W MONROE ST<br>  60644,Completed,No Entry
SR19-02937904,11/13/19 10:32 AM,8216 S RACINE AVE<br>  60620,Completed,No Entry
SR19-02937940,11/13/19 10:36 AM,7854 S ELLIS AVE<br>  60619,Completed,Active Case
SR19-02938039,11/13/19 10:44 AM,1633 W MADISON ST<br>  60612,Completed,PROCESSED VIOLATION NOTICE
SR19-02938071,11/13/19 10:48 AM,924 W WEBSTER AVE<br>  60614,Completed,No Cause - Phone Call
SR19-02938120,11/13/19 10:51 AM,2815 W BYRON ST<br>  60618,Completed,Adequate Temperature
SR19-02938148,11/13/19 10:54 AM,1307 N CALIFORNIA AVE<br>  60622,Completed,Adequate Temperature
SR19-02938176,11/13/19 10:56 AM,7854 S ELLIS AVE<br>  60619,Completed,
SR19-02938185,11/13/19 10:56 AM,3110 W 61ST ST<br>  60629,Completed,PROCESSED VIOLATION NOTICE
SR19-02938259,11/13/19 11:01 AM,7956 S NORMAL AVE<br>  60620,Completed,No Entry
SR19-02938391,11/13/19 11:12 AM,242 N MASON AVE<br>  60644,Completed,Active Case
SR19-02938445,11/13/19 11:17 AM,6720 S JEFFERY BLVD<br>  60649,Completed,No Entry
SR19-02938828,11/13/19 11:45 AM,18 S CENTRAL AVE<br>  60644,Completed,PROCESSED VIOLATION NOTICE
SR19-02938969,11/13/19 12:01 PM,1235 S MILLARD AVE<br>  60623,Completed,No Entry
SR19-02939085,11/13/19 12:13 PM,13113 S DANIEL DR<br>  60827,Completed,Adequate Temperature
SR19-02939446,11/13/19 12:51 PM,3700 W CONGRESS PKWY<br>  60624,Completed,Adequate Temperature
SR19-02939619,11/13/19 01:09 PM,3341 W FULTON BLVD<br>  60624,Completed,No Entry
SR19-02939627,11/13/19 01:10 PM,955 W FOSTER AVE<br>  60640,Completed,Adequate Temperature
SR19-02939822,11/13/19 01:27 PM,169 N LECLAIRE AVE<br>  60644,Completed,Processed for Court
SR19-02940063,11/13/19 01:56 PM,5201 S SAWYER AVE<br>  60632,Completed,PROCESSED VIOLATION NOTICE
SR19-02940302,11/13/19 02:24 PM,1829 W LELAND AVE<br>  60640,Completed,PROCESSED VIOLATION NOTICE
SR19-02940511,11/13/19 02:44 PM,817 E 89TH PL<br>  60619,Completed,No Entry
SR19-02940627,11/13/19 02:56 PM,10640 S PEORIA ST<br>  60643,Completed,PROCESSED VIOLATION NOTICE
SR19-02940795,11/13/19 03:11 PM,6720 N SHERIDAN RD<br>  60626,Completed,No Entry
SR19-02941123,11/13/19 03:43 PM,4402 S INDIANA AVE<br>  60653,Completed,Processed for Hearing - Standard
SR19-02941251,11/13/19 03:56 PM,955 W FOSTER AVE<br>  60640,Completed,
SR19-02941524,11/13/19 04:29 PM,2346 S CHRISTIANA AVE<br>  60623,Completed,Processed for Court
SR19-02941544,11/13/19 04:31 PM,5724 S LOWE AVE<br>  60621,Completed,Processed for Court
SR19-02941710,11/13/19 05:01 PM,8733 S WALLACE ST<br>  60620,Completed,Adequate Temperature
SR19-02941792,11/13/19 05:15 PM,837 N WOLCOTT AVE<br>  60622,Completed,No Entry
SR19-02942211,11/13/19 06:29 PM,1409 W DIVERSEY PKWY<br>  60614,Completed,No Entry
SR19-02942230,11/13/19 06:34 PM,3357 W CHICAGO AVE<br>  60651,Completed,Active Case
SR19-02942245,11/13/19 06:38 PM,1511 E 71ST PL<br>  60619,Completed,No Entry
SR19-02942394,11/13/19 07:18 PM,2358 E 70TH PL<br>  60649,Completed,No Entry
SR19-02942543,11/13/19 07:56 PM,6300 S CALIFORNIA AVE<br>  60629,Completed,No Entry
SR19-02942571,11/13/19 08:05 PM,227 E 74TH ST<br>  60619,Completed,No Entry
SR19-02942671,11/13/19 08:30 PM,6926 S CLYDE AVE<br>  60649,Completed,No Entry
SR19-02943066,11/13/19 10:12 PM,4058 W 115TH ST<br>  60655,Completed,Adequate Temperature
SR19-02943262,11/13/19 11:31 PM,5202 S CORNELL AVE<br>  60615,Completed,No Entry
SR19-02943306,11/14/19 12:04 AM,3357 W CHICAGO AVE<br>  60651,Completed,
SR19-02943342,11/14/19 12:34 AM,440 W BARRY AVE<br>  60657,Completed,Processed for Hearing - Standard
SR19-02943471,11/14/19 04:25 AM,6218 S EBERHART AVE<br>  60637,Completed,PROCESSED VIOLATION NOTICE
SR19-02943476,11/14/19 04:30 AM,7369 N RIDGE BLVD<br>  60645,Completed,
SR19-02943854,11/14/19 07:27 AM,6253 S MICHIGAN AVE<br>  60637,Completed,Adequate Temperature
SR19-02943885,11/14/19 07:31 AM,1455 N LATROBE AVE<br>  60651,Completed,
SR19-02944129,11/14/19 08:15 AM,3424 W HOLLYWOOD AVE<br>  60659,Completed,Adequate Temperature
SR19-02944838,11/14/19 09:45 AM,6952 S ADA ST<br>  60636,Completed,PROCESSED VIOLATION NOTICE
SR19-02944903,11/14/19 09:52 AM,116 W ELM ST<br>  60610,Completed,Adequate Temperature
SR19-02945006,11/14/19 10:05 AM,2644 N LARAMIE AVE<br>  60639,Completed,Adequate Temperature
SR19-02945023,11/14/19 10:06 AM,7957 S WOODLAWN AVE<br>  60619,Completed,Processed for Court
SR19-02945134,11/14/19 10:19 AM,1038 E 73RD ST<br>  60619,Completed,Adequate Temperature
SR19-02945188,11/14/19 10:24 AM,1633 W MADISON ST<br>  60612,Completed,
SR19-02945839,11/14/19 11:31 AM,810 E HYDE PARK BLVD<br>  60615,Completed,PROCESSED VIOLATION NOTICE
SR19-02945843,11/14/19 11:31 AM,1437 N KEATING AVE<br>  60651,Completed,PROCESSED VIOLATION NOTICE
SR19-02945882,11/14/19 11:36 AM,8151 S PEORIA ST<br>  60620,Completed,No Cause - Phone Call
SR19-02946014,11/14/19 11:52 AM,826 E 49TH ST<br>  60615,Completed,Processed for Hearing - Standard
SR19-02946400,11/14/19 12:39 PM,7045 N RIDGE BLVD<br>  60645,Completed,NO SUCH ADDRESS
SR19-02946580,11/14/19 12:56 PM,5244 S KILPATRICK AVE<br>  60632,Completed,No Entry
SR19-02946675,11/14/19 01:07 PM,7405 N RIDGE BLVD<br>  60645,Completed,No Entry
SR19-02946775,11/14/19 01:17 PM,3357 W CHICAGO AVE<br>  60651,Completed,Active Case
SR19-02946914,11/14/19 01:32 PM,7304 S ALBANY AVE<br>  60629,Completed,
SR19-02947085,11/14/19 01:46 PM,7935 S DANTE AVE<br>  60619,Completed,PROCESSED VIOLATION NOTICE
SR19-02947314,11/14/19 02:21 PM,7500 S SOUTH SHORE DR<br>  60649,Completed,PROCESSED VIOLATION NOTICE
SR19-02947465,11/14/19 02:36 PM,7830 S COLFAX AVE<br>  60649,Completed,No Entry
SR19-02947468,11/14/19 02:36 PM,3030 E 79TH ST<br>  60649,Completed,Processed for Court
SR19-02947635,11/14/19 02:52 PM,184 N LECLAIRE AVE<br>  60644,Completed,PROCESSED VIOLATION NOTICE
SR19-02947739,11/14/19 03:08 PM,150 W MAPLE ST<br>  60610,Completed,Adequate Temperature
SR19-02948086,11/14/19 03:42 PM,8917 S COTTAGE GROVE AVE<br>  60619,Completed,
SR19-02948313,11/14/19 04:07 PM,4722 S TRIPP AVE<br>  60632,Completed,Processed for Court
