,SR Number,Date/Time Opened,Service Request Address,Service Request Status,Answer,street_address,zipcode,apt_num,city,state
3175,SR20-04090510,05/11/20 02:10 PM,343 W WOLF POINT PLZ<br>  60606,Completed,No Cause,343 W WOLF POINT PLZ,60606,   ,Chicago,Illinois
3176,SR20-04090562,05/11/20 02:15 PM,2130 W CERMAK RD<br>  60608,Completed,No Cause,2130 W CERMAK RD,60608,   ,Chicago,Illinois
3177,SR20-04092699,05/11/20 06:10 PM,5210 W WOLFRAM ST<br>  60641,Completed,No Cause,5210 W WOLFRAM ST,60641,   ,Chicago,Illinois
3178,SR20-04092892,05/11/20 07:00 PM,5140 S HYDE PARK BLVD<br>  60615,Completed,No Cause,5140 S HYDE PARK BLVD,60615,   ,Chicago,Illinois
3179,SR20-04093908,05/12/20 04:52 AM,4836 W HENDERSON ST<br>  60641,Completed,No Cause,4836 W HENDERSON ST,60641,   ,Chicago,Illinois
3180,SR20-04094707,05/12/20 08:56 AM,3720 W BELLE PLAINE AVE<br>  60618,Completed,No Cause,3720 W BELLE PLAINE AVE,60618,   ,Chicago,Illinois
3181,SR20-04096076,05/12/20 11:07 AM,4820 W HUTCHINSON ST<br>  60641,Completed,No Cause,4820 W HUTCHINSON ST,60641,   ,Chicago,Illinois
3182,SR20-04096079,05/12/20 11:07 AM,2117 W ARTHUR AVE<br>  60645,Completed,No Cause,2117 W ARTHUR AVE,60645,   ,Chicago,Illinois
3183,SR20-04099750,05/12/20 04:35 PM,6305 W MELROSE ST<br>  60634,Completed,No Cause,6305 W MELROSE ST,60634,   ,Chicago,Illinois
3184,SR20-04101355,05/12/20 10:26 PM,5140 S HYDE PARK BLVD<br>  60615,Completed,No Cause,5140 S HYDE PARK BLVD,60615,   ,Chicago,Illinois
3185,SR20-04101459,05/12/20 11:15 PM,6511 N RICHMOND ST<br>1N<br>  60645,Completed,No Cause,6511 N RICHMOND ST,60645,1N   ,Chicago,Illinois
3186,SR20-04101599,05/13/20 01:11 AM,6708 S CONSTANCE AVE<br>  60649,Completed,No Cause,6708 S CONSTANCE AVE,60649,   ,Chicago,Illinois
3187,SR20-04114203,05/14/20 02:05 PM,3821 S WOOD ST<br>  60609,Completed,Transfer to Plumbing Violation,3821 S WOOD ST,60609,   ,Chicago,Illinois
3188,SR20-04114203,05/14/20 02:05 PM,3821 S WOOD ST<br>  60609,Completed,Processed for Hearing,3821 S WOOD ST,60609,   ,Chicago,Illinois
3189,SR20-04117656,05/15/20 12:21 AM,6737 S PAXTON AVE<br>  60649,Completed,No Cause,6737 S PAXTON AVE,60649,   ,Chicago,Illinois
3190,SR20-04128961,05/16/20 01:38 PM,1020 W LAWRENCE AVE<br>  60640,Completed,No Cause,1020 W LAWRENCE AVE,60640,   ,Chicago,Illinois
3191,SR20-04133332,05/17/20 11:53 AM,400 N MCCLURG CT<br>  60611,Completed,No Cause,400 N MCCLURG CT,60611,   ,Chicago,Illinois
3192,SR20-04134038,05/17/20 02:05 PM,400 N MCCLURG CT<br>  60611,Completed,,400 N MCCLURG CT,60611,   ,Chicago,Illinois
3193,SR20-04137858,05/17/20 11:38 PM,5729 S MARSHFIELD AVE<br>  60636,Completed,No Cause,5729 S MARSHFIELD AVE,60636,   ,Chicago,Illinois
3194,SR20-04137886,05/17/20 11:46 PM,5729 S MARSHFIELD AVE<br>  60636,Completed,,5729 S MARSHFIELD AVE,60636,   ,Chicago,Illinois
3195,SR20-04137952,05/18/20 12:09 AM,5729 S MARSHFIELD AVE<br>  60636,Completed,,5729 S MARSHFIELD AVE,60636,   ,Chicago,Illinois
3196,SR20-04138056,05/18/20 01:36 AM,3021 W CERMAK RD<br>  60623,Completed,No Cause,3021 W CERMAK RD,60623,   ,Chicago,Illinois
3197,SR20-04144767,05/18/20 04:23 PM,1134 W 90TH ST<br>  60620,Completed,No Cause,1134 W 90TH ST,60620,   ,Chicago,Illinois
3198,SR20-04145442,05/18/20 05:55 PM,1303 W 111TH ST<br>  60643,Completed,No Cause,1303 W 111TH ST,60643,   ,Chicago,Illinois
3199,SR20-04146988,05/19/20 06:40 AM,2723 W 60TH ST<br>1st 2nd and 3rd<br>  60629,Completed,No Cause,2723 W 60TH ST,60629,1st 2nd and 3rd   ,Chicago,Illinois
3200,SR20-04148240,05/19/20 09:58 AM,1343 N CLEVELAND AVE<br>  60610,Completed,No Cause,1343 N CLEVELAND AVE,60610,   ,Chicago,Illinois
3201,SR20-04148419,05/19/20 10:19 AM,1440 S INDIANA AVE<br>  60605,Completed,No Cause,1440 S INDIANA AVE,60605,   ,Chicago,Illinois
3202,SR20-04149065,05/19/20 11:23 AM,1425 W ESTES AVE<br>  60626,Completed,No Cause,1425 W ESTES AVE,60626,   ,Chicago,Illinois
3203,SR20-04149422,05/19/20 12:00 PM,1020 W LAWRENCE AVE<br>1010<br>  60640,Completed,,1020 W LAWRENCE AVE,60640,1010   ,Chicago,Illinois
3204,SR20-04150244,05/19/20 01:09 PM,2035 W GRANVILLE AVE<br>Apt 202<br>  60659,Completed,No Cause,2035 W GRANVILLE AVE,60659,Apt 202   ,Chicago,Illinois
3205,SR20-04150379,05/19/20 01:20 PM,747 N WABASH AVE<br>  60611,Completed,No Cause,747 N WABASH AVE,60611,   ,Chicago,Illinois
3206,SR20-04152374,05/19/20 04:21 PM,2946 N CLYBOURN AVE<br>  60647,Completed,No Cause,2946 N CLYBOURN AVE,60647,   ,Chicago,Illinois
3207,SR20-04154068,05/19/20 11:51 PM,1515 N ASTOR ST<br>  60610,Completed,No Cause,1515 N ASTOR ST,60610,   ,Chicago,Illinois
3208,SR20-04154671,05/20/20 07:25 AM,1515 N ASTOR ST<br>  60610,Completed,,1515 N ASTOR ST,60610,   ,Chicago,Illinois
3209,SR20-04159427,05/20/20 03:32 PM,1020 W LAWRENCE AVE<br>  60640,Completed,,1020 W LAWRENCE AVE,60640,   ,Chicago,Illinois
3210,SR20-04159464,05/20/20 03:36 PM,3658 N KEDZIE AVE<br>  60618,Completed,No Cause,3658 N KEDZIE AVE,60618,   ,Chicago,Illinois
3211,SR20-04159669,05/20/20 03:56 PM,1343 S KILDARE AVE<br>  60623,Completed,No Cause,1343 S KILDARE AVE,60623,   ,Chicago,Illinois
3212,SR20-04175702,05/21/20 05:19 PM,5441 N EAST RIVER RD<br>  60656,Completed,No Cause,5441 N EAST RIVER RD,60656,   ,Chicago,Illinois
3213,SR20-04180951,05/22/20 01:07 PM,4315 W GLADYS AVE<br>  60624,Completed,No Cause,4315 W GLADYS AVE,60624,   ,Chicago,Illinois
3214,SR20-04194023,05/24/20 07:08 PM,3141 N SHEFFIELD AVE<br>420<br>  60657,Completed,No Cause,3141 N SHEFFIELD AVE,60657,420   ,Chicago,Illinois
3215,SR20-04210188,05/27/20 07:20 AM,7450 N ROGERS AVE<br>  60626,Completed,No Cause,7450 N ROGERS AVE,60626,   ,Chicago,Illinois
3216,SR20-04219000,05/28/20 09:10 AM,8745 S COTTAGE GROVE AVE<br>  60619,Completed,No Cause,8745 S COTTAGE GROVE AVE,60619,   ,Chicago,Illinois
3217,SR20-04221551,05/28/20 12:50 PM,46 E 110TH PL<br>  60628,Completed,No Cause,46 E 110TH PL,60628,   ,Chicago,Illinois
3218,SR20-04225888,05/29/20 03:04 AM,8745 S COTTAGE GROVE AVE<br>  60619,Completed,,8745 S COTTAGE GROVE AVE,60619,   ,Chicago,Illinois
3219,SR20-04228064,05/29/20 10:40 AM,8022 S MARYLAND AVE<br>  60619,Completed,No Cause,8022 S MARYLAND AVE,60619,   ,Chicago,Illinois
3220,SR20-05069003,09/15/20 02:41 PM,5917 S LAFLIN ST<br>  60636,Completed,No Entry,5917 S LAFLIN ST,60636,   ,Chicago,Illinois
3221,SR20-05069127,09/15/20 02:46 PM,11112 S THROOP ST<br>  60643,Completed,No Entry,11112 S THROOP ST,60643,   ,Chicago,Illinois
3222,SR20-05071076,09/15/20 06:24 PM,637 E 40TH ST<br>  60653,Completed,No Cause - Phone Call,637 E 40TH ST,60653,   ,Chicago,Illinois
3223,SR20-05090767,09/18/20 02:39 AM,740 E 43RD ST<br>  60653,Completed,No Cause - Phone Call,740 E 43RD ST,60653,   ,Chicago,Illinois
3224,SR20-05090867,09/18/20 06:04 AM,6140 S DREXEL AVE<br>  60637,Completed,No Cause,6140 S DREXEL AVE,60637,   ,Chicago,Illinois
3225,SR20-05091015,09/18/20 06:50 AM,9177 S SOUTH CHICAGO AVE<br>  60617,Completed,No Cause,9177 S SOUTH CHICAGO AVE,60617,   ,Chicago,Illinois
3226,SR20-05092469,09/18/20 09:56 AM,6626 S MARSHFIELD AVE<br>  60636,Completed,Processed for Hearing,6626 S MARSHFIELD AVE,60636,   ,Chicago,Illinois
3227,SR20-05092469,09/18/20 09:56 AM,6626 S MARSHFIELD AVE<br>  60636,Completed,Transfer to Electrical Violation,6626 S MARSHFIELD AVE,60636,   ,Chicago,Illinois
3228,SR20-05093342,09/18/20 11:12 AM,333 E ONTARIO ST<br>  60611,Completed,No Cause - Phone Call,333 E ONTARIO ST,60611,   ,Chicago,Illinois
3229,SR20-05093448,09/18/20 11:23 AM,3035 N PARKSIDE AVE<br>  60634,Completed,No Entry,3035 N PARKSIDE AVE,60634,   ,Chicago,Illinois
3230,SR20-05097405,09/18/20 05:30 PM,6414 S DR MARTIN LUTHER KING JR DR<br>  60637,Completed,No Entry,6414 S DR MARTIN LUTHER KING JR DR,60637,   ,Chicago,Illinois
3231,SR20-05097606,09/18/20 06:13 PM,4143 S LANGLEY AVE<br>  60653,Completed,NO SUCH ADDRESS,4143 S LANGLEY AVE,60653,   ,Chicago,Illinois
3232,SR20-05097849,09/18/20 07:13 PM,6940 S CLYDE AVE<br>  60649,Completed,No Cause - Phone Call,6940 S CLYDE AVE,60649,   ,Chicago,Illinois
3233,SR20-05098916,09/19/20 07:08 AM,5825 S DORCHESTER AVE<br>  60637,Completed,No Entry,5825 S DORCHESTER AVE,60637,   ,Chicago,Illinois
3234,SR20-05099150,09/19/20 08:15 AM,7102 N WASHTENAW AVE<br>  60645,Completed,No Cause - Phone Call,7102 N WASHTENAW AVE,60645,   ,Chicago,Illinois
3235,SR20-05099304,09/19/20 08:58 AM,21 E CHESTNUT ST<br>21<br>  60611,Completed,No Cause - Phone Call,21 E CHESTNUT ST,60611,21   ,Chicago,Illinois
3236,SR20-05099592,09/19/20 09:53 AM,6160 N DAMEN AVE<br>  60659,Completed,Transfer to Boiler Violation,6160 N DAMEN AVE,60659,   ,Chicago,Illinois
3237,SR20-05099592,09/19/20 09:53 AM,6160 N DAMEN AVE<br>  60659,Completed,No Cause,6160 N DAMEN AVE,60659,   ,Chicago,Illinois
3238,SR20-05100269,09/19/20 11:46 AM,2944 W WILCOX ST<br>  60612,Completed,No Cause - Phone Call,2944 W WILCOX ST,60612,   ,Chicago,Illinois
3239,SR20-05102462,09/19/20 07:29 PM,70 W BURTON PL<br>  60610,Completed,No Cause - Phone Call,70 W BURTON PL,60610,   ,Chicago,Illinois
3240,SR20-05102756,09/19/20 08:40 PM,2946 W BELLE PLAINE AVE<br>1<br>  60618,Completed,No Cause - Phone Call,2946 W BELLE PLAINE AVE,60618,1   ,Chicago,Illinois
3241,SR20-05102952,09/19/20 09:39 PM,1250 W MORSE AVE<br>  60626,Completed,No Cause,1250 W MORSE AVE,60626,   ,Chicago,Illinois
3242,SR20-05103709,09/20/20 07:30 AM,3618 W BELMONT AVE<br>  60618,Completed,No Entry,3618 W BELMONT AVE,60618,   ,Chicago,Illinois
3243,SR20-05106154,09/20/20 05:04 PM,6454 N NORTHWEST HWY<br>  60631,Completed,No Cause - Phone Call,6454 N NORTHWEST HWY,60631,   ,Chicago,Illinois
3244,SR20-05106939,09/20/20 09:01 PM,9177 S SOUTH CHICAGO AVE<br>  60617,Completed,,9177 S SOUTH CHICAGO AVE,60617,   ,Chicago,Illinois
3245,SR20-05108167,09/21/20 08:03 AM,6400 N SHERIDAN RD<br>  60626,Completed,No Cause - Phone Call,6400 N SHERIDAN RD,60626,   ,Chicago,Illinois
3246,SR20-05108568,09/21/20 08:43 AM,2956 N PULASKI RD<br>  60641,Completed,No Entry,2956 N PULASKI RD,60641,   ,Chicago,Illinois
3247,SR20-05109526,09/21/20 09:49 AM,4713 N BERNARD ST<br>  60625,Completed,No Cause - Phone Call,4713 N BERNARD ST,60625,   ,Chicago,Illinois
3248,SR20-05109579,09/21/20 09:52 AM,2910 W FILLMORE ST<br>  60612,Completed,No Cause - Phone Call,2910 W FILLMORE ST,60612,   ,Chicago,Illinois
3249,SR20-05110681,09/21/20 11:16 AM,2342 W TOUHY AVE<br>1B<br>  60645,Completed,No Cause - Phone Call,2342 W TOUHY AVE,60645,1B   ,Chicago,Illinois
3250,SR20-05111509,09/21/20 12:38 PM,7831 S CORNELL AVE<br>  60649,Completed,PROCESSED VIOLATION NOTICE,7831 S CORNELL AVE,60649,   ,Chicago,Illinois
3251,SR20-05112864,09/21/20 02:24 PM,4500 N CLARENDON AVE<br>  60640,Completed,No Cause,4500 N CLARENDON AVE,60640,   ,Chicago,Illinois
3252,SR20-05115864,09/21/20 10:02 PM,1450 N SEDGWICK ST<br>  60610,Completed,No Cause - Phone Call,1450 N SEDGWICK ST,60610,   ,Chicago,Illinois
3253,SR20-05116278,09/22/20 04:46 AM,5825 S DORCHESTER AVE<br>  60637,Completed,,5825 S DORCHESTER AVE,60637,   ,Chicago,Illinois
3254,SR20-05117753,09/22/20 09:30 AM,613 W MELROSE ST<br>unit 1<br>  60657,Completed,No Cause - Phone Call,613 W MELROSE ST,60657,unit 1   ,Chicago,Illinois
3255,SR20-05120601,09/22/20 01:27 PM,3213 W 62ND PL<br>  60629,Completed,Adequate Temperature,3213 W 62ND PL,60629,   ,Chicago,Illinois
3256,SR20-05124353,09/23/20 04:46 AM,4829 S COTTAGE GROVE AVE<br>  60615,Completed,Adequate Temperature,4829 S COTTAGE GROVE AVE,60615,   ,Chicago,Illinois
3257,SR20-05126832,09/23/20 10:49 AM,2944 W WILCOX ST<br>  60612,Completed,,2944 W WILCOX ST,60612,   ,Chicago,Illinois
3258,SR20-05128051,09/23/20 12:36 PM,2944 W WILCOX ST<br>  60612,Completed,,2944 W WILCOX ST,60612,   ,Chicago,Illinois
3259,SR20-05141575,09/25/20 09:00 AM,637 E 40TH ST<br>  60653,Completed,No Cause - Phone Call,637 E 40TH ST,60653,   ,Chicago,Illinois
3260,SR20-05147421,09/25/20 08:42 PM,1547 N LEAMINGTON AVE<br>  60651,Completed,No Entry,1547 N LEAMINGTON AVE,60651,   ,Chicago,Illinois
3261,SR20-05150256,09/26/20 01:13 PM,2342 W TOUHY AVE<br>  60645,Completed,,2342 W TOUHY AVE,60645,   ,Chicago,Illinois
3262,SR20-05154002,09/27/20 10:10 AM,7538 S EVANS AVE<br>  60619,Completed,PROCESSED VIOLATION NOTICE,7538 S EVANS AVE,60619,   ,Chicago,Illinois
3263,SR20-05158025,09/28/20 04:13 AM,7538 S EVANS AVE<br>  60619,Completed,,7538 S EVANS AVE,60619,   ,Chicago,Illinois
3264,SR20-05158468,09/28/20 07:36 AM,2944 W WILCOX ST<br>  60612,Completed,,2944 W WILCOX ST,60612,   ,Chicago,Illinois
3265,SR20-05158600,09/28/20 07:57 AM,7627 S PHILLIPS AVE<br>  60649,Completed,No Entry,7627 S PHILLIPS AVE,60649,   ,Chicago,Illinois
3266,SR20-05158875,09/28/20 08:44 AM,4821 N CLAREMONT AVE<br>  60625,Completed,No Entry,4821 N CLAREMONT AVE,60625,   ,Chicago,Illinois
3267,SR20-05160669,09/28/20 11:22 AM,1000 N LA SALLE DR<br>  60610,Completed,No Entry,1000 N LA SALLE DR,60610,   ,Chicago,Illinois
3268,SR20-05161007,09/28/20 11:51 AM,6139 N FRANCISCO AVE<br>  60659,Completed,No Cause,6139 N FRANCISCO AVE,60659,   ,Chicago,Illinois
3269,SR20-05163966,09/28/20 03:49 PM,333 E ONTARIO ST<br>  60611,Completed,,333 E ONTARIO ST,60611,   ,Chicago,Illinois
3270,SR20-05165357,09/28/20 08:15 PM,5326 N WINTHROP AVE<br>  60640,Completed,Adequate Temperature,5326 N WINTHROP AVE,60640,   ,Chicago,Illinois
3271,SR20-05165467,09/28/20 08:44 PM,1210 N LOCKWOOD AVE<br>  60651,Completed,No Entry,1210 N LOCKWOOD AVE,60651,   ,Chicago,Illinois
3272,SR20-05165510,09/28/20 08:58 PM,1343 N CLEVELAND AVE<br>  60610,Completed,No Entry,1343 N CLEVELAND AVE,60610,   ,Chicago,Illinois
3273,SR20-05166091,09/29/20 04:08 AM,7804 S CHAMPLAIN AVE<br>  60619,Completed,No Entry,7804 S CHAMPLAIN AVE,60619,   ,Chicago,Illinois
3274,SR20-05166590,09/29/20 07:36 AM,4049 N MARMORA AVE<br>  60634,Completed,No Cause - Phone Call,4049 N MARMORA AVE,60634,   ,Chicago,Illinois
3275,SR20-05166659,09/29/20 07:47 AM,1664 W FARWELL AVE<br>2e<br>  60626,Completed,No Cause - Phone Call,1664 W FARWELL AVE,60626,2e   ,Chicago,Illinois
3276,SR20-05166924,09/29/20 08:25 AM,642 W CORNELIA AVE<br>  60657,Completed,No Cause - Phone Call,642 W CORNELIA AVE,60657,   ,Chicago,Illinois
3277,SR20-05167050,09/29/20 08:42 AM,333 E ONTARIO ST<br>3102<br>  60611,Completed,No Cause - Phone Call,333 E ONTARIO ST,60611,3102   ,Chicago,Illinois
3278,SR20-05167076,09/29/20 08:44 AM,333 E ONTARIO ST<br>  60611,Completed,,333 E ONTARIO ST,60611,   ,Chicago,Illinois
3279,SR20-05167169,09/29/20 08:54 AM,333 E ONTARIO ST<br>1208<br>  60611,Completed,,333 E ONTARIO ST,60611,1208   ,Chicago,Illinois
3280,SR20-05167223,09/29/20 08:58 AM,5410 W DIVISION ST<br>  60651,Completed,No Cause - Phone Call,5410 W DIVISION ST,60651,   ,Chicago,Illinois
3281,SR20-05167435,09/29/20 09:21 AM,7646 S INGLESIDE AVE<br>  60619,Completed,PROCESSED VIOLATION NOTICE,7646 S INGLESIDE AVE,60619,   ,Chicago,Illinois
3282,SR20-05168233,09/29/20 10:31 AM,9177 S SOUTH CHICAGO AVE<br>  60617,Completed,,9177 S SOUTH CHICAGO AVE,60617,   ,Chicago,Illinois
3283,SR20-05168347,09/29/20 10:43 AM,2815 W BYRON ST<br>  60618,Completed,No Cause - Phone Call,2815 W BYRON ST,60618,   ,Chicago,Illinois
3284,SR20-05168879,09/29/20 11:33 AM,2851 S DR MARTIN LUTHER KING JR DR<br>1817<br>  60616,Completed,No Cause - Phone Call,2851 S DR MARTIN LUTHER KING JR DR,60616,1817   ,Chicago,Illinois
3285,SR20-05168947,09/29/20 11:41 AM,6130 N DAMEN AVE<br>3H<br>  60659,Completed,No Cause - Phone Call,6130 N DAMEN AVE,60659,3H   ,Chicago,Illinois
3286,SR20-05169003,09/29/20 11:47 AM,252 E 121ST PL<br>  60628,Completed,No Cause,252 E 121ST PL,60628,   ,Chicago,Illinois
3287,SR20-05169094,09/29/20 11:55 AM,150 W MAPLE ST<br>  60610,Completed,No Cause - Phone Call,150 W MAPLE ST,60610,   ,Chicago,Illinois
3288,SR20-05169326,09/29/20 12:16 PM,601 E 84TH ST<br>  60619,Completed,No Cause - Phone Call,601 E 84TH ST,60619,   ,Chicago,Illinois
3289,SR20-05170321,09/29/20 01:30 PM,1664 W FARWELL AVE<br>  60626,Completed,,1664 W FARWELL AVE,60626,   ,Chicago,Illinois
3290,SR20-05170604,09/29/20 01:52 PM,7639 S COLFAX AVE<br>  60649,Completed,PROCESSED VIOLATION NOTICE,7639 S COLFAX AVE,60649,   ,Chicago,Illinois
3291,SR20-05170962,09/29/20 02:23 PM,525 W HAWTHORNE PL<br>  60657,Completed,No Cause - Phone Call,525 W HAWTHORNE PL,60657,   ,Chicago,Illinois
3292,SR20-05171314,09/29/20 02:56 PM,7102 N WASHTENAW AVE<br>  60645,Completed,No Cause - Phone Call,7102 N WASHTENAW AVE,60645,   ,Chicago,Illinois
3293,SR20-05172719,09/29/20 05:49 PM,900 N LAKE SHORE DR<br>  60611,Completed,No Cause - Phone Call,900 N LAKE SHORE DR,60611,   ,Chicago,Illinois
3294,SR20-05172773,09/29/20 05:58 PM,849 W CORNELIA AVE<br>  60657,Completed,No Cause - Phone Call,849 W CORNELIA AVE,60657,   ,Chicago,Illinois
3295,SR20-05173044,09/29/20 06:53 PM,333 E ONTARIO ST<br>  60611,Completed,,333 E ONTARIO ST,60611,   ,Chicago,Illinois
3296,SR20-05173059,09/29/20 06:58 PM,1343 N CLEVELAND AVE<br>  60610,Completed,,1343 N CLEVELAND AVE,60610,   ,Chicago,Illinois
3297,SR20-05174678,09/30/20 08:12 AM,5039 N SPRINGFIELD AVE<br>G / Basement<br>  60625,Completed,No Entry,5039 N SPRINGFIELD AVE,60625,G / Basement   ,Chicago,Illinois
3298,SR20-05174709,09/30/20 08:15 AM,5310 W PENSACOLA AVE<br>  60641,Completed,Adequate Temperature,5310 W PENSACOLA AVE,60641,   ,Chicago,Illinois
3299,SR20-05174808,09/30/20 08:28 AM,2020 W SCHILLER ST<br>  60622,Completed,Adequate Temperature,2020 W SCHILLER ST,60622,   ,Chicago,Illinois
3300,SR20-05175020,09/30/20 08:51 AM,7106 S RIDGELAND AVE<br>  60649,Completed,Processed for Hearing - Standard,7106 S RIDGELAND AVE,60649,   ,Chicago,Illinois
3301,SR20-05175135,09/30/20 09:01 AM,5157 W WABANSIA AVE<br>  60639,Completed,No Cause - Phone Call,5157 W WABANSIA AVE,60639,   ,Chicago,Illinois
3302,SR20-05175234,09/30/20 09:11 AM,6414 S DR MARTIN LUTHER KING JR DR<br>  60637,Completed,No Cause,6414 S DR MARTIN LUTHER KING JR DR,60637,   ,Chicago,Illinois
3303,SR20-05175587,09/30/20 09:44 AM,6130 N DAMEN AVE<br>3H<br>  60659,Completed,,6130 N DAMEN AVE,60659,3H   ,Chicago,Illinois
3304,SR20-05175747,09/30/20 09:54 AM,4823 N CENTRAL AVE<br>  60630,Completed,Adequate Temperature,4823 N CENTRAL AVE,60630,   ,Chicago,Illinois
3305,SR20-05175960,09/30/20 10:14 AM,1624 E 85TH PL<br>First and second fl<br>  60617,Completed,No Entry,1624 E 85TH PL,60617,First and second fl   ,Chicago,Illinois
3306,SR20-05176264,09/30/20 10:36 AM,33 W ONTARIO ST<br>48A<br>  60654,Completed,No Cause - Phone Call,33 W ONTARIO ST,60654,48A   ,Chicago,Illinois
3307,SR20-05176564,09/30/20 10:50 AM,10617 S HALE AVE<br>  60643,Completed,No Cause,10617 S HALE AVE,60643,   ,Chicago,Illinois
3308,SR20-05178670,09/30/20 02:28 PM,2921 S MICHIGAN AVE<br>  60616,Completed,No Cause,2921 S MICHIGAN AVE,60616,   ,Chicago,Illinois
3309,SR20-05178943,09/30/20 02:55 PM,3716 W LELAND AVE<br>  60625,Completed,Adequate Temperature,3716 W LELAND AVE,60625,   ,Chicago,Illinois
3310,SR20-05179564,09/30/20 04:18 PM,208 N KOLIN AVE<br>  60624,Completed,No Cause - Phone Call,208 N KOLIN AVE,60624,   ,Chicago,Illinois
3311,SR20-05179617,09/30/20 04:24 PM,1006 N PULASKI RD<br>  60651,Completed,No Cause - Phone Call,1006 N PULASKI RD,60651,   ,Chicago,Illinois
3312,SR20-05180125,09/30/20 06:06 PM,5801H N PULASKI RD<br>2111<br>  60659,Completed,No Entry,5801H N PULASKI RD,60659,2111   ,Chicago,Illinois
3313,SR20-05180128,09/30/20 06:07 PM,10617 S HALE AVE<br>2A<br>  60643,Completed,,10617 S HALE AVE,60643,2A   ,Chicago,Illinois
3314,SR20-05180420,09/30/20 07:35 PM,7639 S COLFAX AVE<br>  60649,Completed,,7639 S COLFAX AVE,60649,   ,Chicago,Illinois
3315,SR20-05180442,09/30/20 07:41 PM,5752 S CARPENTER ST<br>  60621,Completed,No Entry,5752 S CARPENTER ST,60621,   ,Chicago,Illinois
3316,SR20-05181304,10/01/20 04:07 AM,12007 S YALE AVE<br>  60628,Completed,No Cause - Phone Call,12007 S YALE AVE,60628,   ,Chicago,Illinois
3317,SR20-05181584,10/01/20 07:19 AM,8241 S LANGLEY AVE<br>  60619,Completed,No Entry,8241 S LANGLEY AVE,60619,   ,Chicago,Illinois
3318,SR20-05182300,10/01/20 09:09 AM,6123 S RACINE AVE<br>  60636,Completed,No Entry,6123 S RACINE AVE,60636,   ,Chicago,Illinois
3319,SR20-05182655,10/01/20 09:39 AM,7351 S PHILLIPS AVE<br>  60649,Completed,No Entry,7351 S PHILLIPS AVE,60649,   ,Chicago,Illinois
3320,SR20-05183091,10/01/20 10:21 AM,1043 W NORTH SHORE AVE<br>3S<br>  60626,Completed,No Entry,1043 W NORTH SHORE AVE,60626,3S   ,Chicago,Illinois
3321,SR20-05184267,10/01/20 12:28 PM,8024 S COTTAGE GROVE AVE<br>  60619,Completed,No Entry,8024 S COTTAGE GROVE AVE,60619,   ,Chicago,Illinois
3322,SR20-05184314,10/01/20 12:33 PM,5533 S LAFLIN ST<br>  60636,Completed,No Entry,5533 S LAFLIN ST,60636,   ,Chicago,Illinois
3323,SR20-05184539,10/01/20 12:54 PM,518 W DIVERSEY PKWY<br>  60614,Completed,No Cause,518 W DIVERSEY PKWY,60614,   ,Chicago,Illinois
3324,SR20-05184709,10/01/20 01:05 PM,5160 W SUNNYSIDE AVE<br>  60630,Completed,Processed for Hearing - Standard,5160 W SUNNYSIDE AVE,60630,   ,Chicago,Illinois
3325,SR20-05184735,10/01/20 01:08 PM,8711 W SUMMERDALE AVE<br>3N<br>  60656,Completed,No Entry,8711 W SUMMERDALE AVE,60656,3N   ,Chicago,Illinois
3326,SR20-05184870,10/01/20 01:20 PM,2944 W WILCOX ST<br>  60612,Completed,Processed for Hearing - Standard,2944 W WILCOX ST,60612,   ,Chicago,Illinois
3327,SR20-05185514,10/01/20 02:10 PM,6820 S PAXTON AVE<br>  60649,Completed,No Entry,6820 S PAXTON AVE,60649,   ,Chicago,Illinois
3328,SR20-05185812,10/01/20 02:39 PM,1043 W NORTH SHORE AVE<br>  60626,Completed,,1043 W NORTH SHORE AVE,60626,   ,Chicago,Illinois
3329,SR20-05186160,10/01/20 03:24 PM,2032 N LA CROSSE AVE<br>  60639,Completed,Processed for Hearing - Standard,2032 N LA CROSSE AVE,60639,   ,Chicago,Illinois
3330,SR20-05186392,10/01/20 03:59 PM,208 N KOLIN AVE<br>  60624,Completed,,208 N KOLIN AVE,60624,   ,Chicago,Illinois
3331,SR20-05186533,10/01/20 04:15 PM,233 E ERIE ST<br>  60611,Completed,No Cause - Phone Call,233 E ERIE ST,60611,   ,Chicago,Illinois
3332,SR20-05187188,10/01/20 05:57 PM,109 E 45TH ST<br>  60653,Completed,Adequate Temperature,109 E 45TH ST,60653,   ,Chicago,Illinois
3333,SR20-05187843,10/01/20 08:42 PM,4829 N SPRINGFIELD AVE<br>  60625,Completed,No Cause,4829 N SPRINGFIELD AVE,60625,   ,Chicago,Illinois
3334,SR20-05188461,10/02/20 03:02 AM,1527 W PRATT BLVD<br>  60626,Completed,No Cause,1527 W PRATT BLVD,60626,   ,Chicago,Illinois
3335,SR20-05188623,10/02/20 06:31 AM,2342 W TOUHY AVE<br>  60645,Completed,No Cause - Phone Call,2342 W TOUHY AVE,60645,   ,Chicago,Illinois
3336,SR20-05188922,10/02/20 07:46 AM,400 E 41ST ST<br>  60653,Completed,No Cause - Phone Call,400 E 41ST ST,60653,   ,Chicago,Illinois
3337,SR20-05188934,10/02/20 07:48 AM,7616 S SOUTH SHORE DR<br>  60649,Completed,No Entry,7616 S SOUTH SHORE DR,60649,   ,Chicago,Illinois
